song_name,emotion,link
Don't Let It Break Your Heart,sadness,https://open.spotify.com/track/6BrBNdXZpbZKg6Y3HbLJxX?si=e7c6b67d478c43e6
Rainbow,sadness,https://open.spotify.com/track/79qxwHypONUt3AFq0WPpT9?si=372109c61b214eb5
Happy,joy,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH?si=189c9592e7714d34
No Judgement,joy,https://open.spotify.com/track/2sGF7DBXvL2GjkbG606m1G?si=ae04f1c4805e48db
As I'll Ever Be,fear,https://open.spotify.com/track/5I2lEwnYNP2xCELWSMRMe4?si=48382c1fbfe74008
Fireflies-Accoustic,fear,https://open.spotify.com/track/3CVeJD4UtBLOZDFDWeLCa1?si=c2ad203449ac4ab3
Little Babbling Brook (Nature Sounds),anger,https://open.spotify.com/track/4oCZ4rR6q9FTXFwwEw3Xya?si=5e1c62a8db9541ff
Calm Streams (Nature Sounds),anger,https://open.spotify.com/track/7qzaFJo8jvngyBgRGK6gA7?si=a33144adf36a4901
Tum Se Hi,love,https://open.spotify.com/track/7eQl3Yqv35ioqUfveKHitE?si=bf423faa5a9a477e
Mere Liye Tum Kaafi Ho,love,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u?si=fd954ecd41d643fc
"The Well Tempered Clavier, Prelude & Fugue in C Major",surprise,https://open.spotify.com/track/4SFBV7SRNG2e2kyL1F6kjU?si=3ae17bf0b87640bc
Piano Sonata No. 16 in C Major ,surprise,https://open.spotify.com/track/51xHvAUYQfhY29GcGlBM0n?si=d9ee2dfd56e64d82